source,method,f1_mean,f1_std,pr_auc_mean,pr_auc_std,recall_mean,precision_mean,mcc_mean,g_mean_mean,rank_f1,rank_pr_auc
synthetic_ir,EasyEnsemble,0.1115002543020085,0.0253959303612709,0.1202093812876281,0.0365407786038748,0.7740740740740741,0.0601518328619281,0.1683885889289683,0.7624443894659777,10.0,13.0
synthetic_ir,RF (balanced_subsample),0.0289855072463768,0.0251021856169402,0.524036033234283,0.0929086624108606,0.0148148148148148,0.6666666666666666,0.0984230992262487,0.0993807989999906,15.0,3.0
synthetic_ir,RUSBoost,0.0533807829181494,,0.0281180883390668,,0.3333333333333333,0.0290135396518375,0.0365809962398404,0.5088840368521722,14.0,15.0
synthetic_ir,Random Oversampling + RF,0.1110148643498146,0.0496252112273238,0.5285921460048181,0.0988670288615684,0.0592592592592592,1.0,0.2366014255027596,0.2388062810768477,11.0,2.0
synthetic_ir,Random Undersampling + RF,0.1650958656965331,0.0340785967738584,0.3119607606937033,0.0471878240997281,0.8518518518518517,0.0916336529665631,0.2438653722271663,0.8386432991038778,8.0,10.0
synthetic_ir,SMOTE + RF,0.4029046501783688,0.1067967278122386,0.4196257545257469,0.1209902740123196,0.3407407407407407,0.5166067939749165,0.4061305525498415,0.5765970348611857,1.5,5.5
synthetic_ir,SMOTE-ENN + RF,0.3865786047730976,0.1095972876037174,0.381430801983081,0.1358738933474523,0.3629629629629629,0.4310691986680415,0.3802543479606914,0.5964625970701368,4.0,9.0
synthetic_ir,SMOTE-Tomek + RF,0.4029046501783688,0.1067967278122386,0.4196257545257469,0.1209902740123196,0.3407407407407407,0.5166067939749165,0.4061305525498415,0.5765970348611857,1.5,5.5
real,ADASYN + RF,0.2094861660079051,0.0549108458081019,0.2910783248648249,0.0615089175438835,0.1296296296296296,0.5499999999999999,0.2620987309801858,0.3580317034258942,6.0,3.0
real,Balanced Bagging,0.1057661831433792,0.0107298001912328,0.1730584103020057,0.0584435992743012,0.7592592592592592,0.0568453352620711,0.1748481506485095,0.7886334048545142,10.0,10.0
real,Balanced Random Forest,0.1373517020989168,0.0232739177335514,0.1815398868257061,0.0223616105380087,0.7407407407407408,0.0757831874858656,0.2087657206622148,0.8017907183185112,8.0,9.0
real,Baseline RF,0.0684210526315789,0.0593127772083402,0.2819011064712979,0.0274449031061955,0.037037037037037,0.5,0.1324680092625952,0.157103804346949,13.0,5.0
real,Borderline-SMOTE + RF,0.2121212121212121,0.0524863881081477,0.2881225484546048,0.1200762579412216,0.1296296296296296,0.5833333333333334,0.2707006399124469,0.3580756295644803,5.0,4.0
real,Class weight LogisticRegression,0.1162628486704892,0.0327142977067237,0.1047121520136841,0.0192370288433234,0.4444444444444445,0.0670493091240266,0.1435272010195841,0.6335220452031997,9.0,14.0
real,Custom weighted log-loss LR,0.1734122375237357,0.0737654400003649,0.1622348824952381,0.0498912989940783,0.2222222222222222,0.1428843523280175,0.1637268582045381,0.4564270839918589,7.0,11.0
real,EasyEnsemble,0.0734452718205618,0.0049105918254739,0.1095193420487491,0.0244404882786045,0.7962962962962963,0.0385256993537248,0.1328317604957453,0.7535387729071735,12.0,13.0
real,RF (balanced_subsample),0.1,0.1,0.260515774540653,0.1556614853553295,0.0555555555555555,0.5,0.1637287678316908,0.1896474953262215,11.0,7.0
real,RUSBoost,0.0451612903225806,,0.0194329257787205,,0.3888888888888889,0.023972602739726,0.0459347405667071,0.5489470029122293,15.0,15.0
real,Random Oversampling + RF,0.2628205128205128,0.1159175725642636,0.3123050966040308,0.0614635796909218,0.1851851851851852,0.4583333333333333,0.2845509977430362,0.4222427489228574,3.0,1.0
